,Star_name,Distance,Mass,Radius
2290,Altair,0017,1.8,1.8
2291,Acrux,0320,18,8.9
2292,Aldebaran,0065,1.5,44
2293,Antares,0600,12,680
2294,Spica,0260,11.43,7.47
2295,Pollux,0034,1.9,8.8
2296,Fomalhaut,0025,1.9,1.8
2297,Deneb,"2,600",19,203
2298,Mimosa,0350,16,8.4
2299,Regulus,0077,3.8,3.1
2300,Adhara,0430,12.5,14
2301,Shaula,0700,14.5,8.8
2302,Castor,0052,2.8,2.4
2303,Gacrux,0088,1.5,84
2304,Bellatrix,0240,8.6,5.8
2305,Elnath,0130,5.0,4.2
2306,Miaplacidus,0110,3.5,6.8
2307,Alnilam,"2,000",32,42
2308,Gamma Velorum,"01,100",9.0,6
2309,Alnair,0101,4.0,3.4
2310,Alioth,0081,2.9,4.2
2311,Alnitak,01050,33,20
2312,Dubhe,0120,4.25,30
2313,Mirfak,0590,8.5,68
2314,Wezen,"1,600",17,200
2315,Sargas,0270,5.7,26
2316,Kaus Australis,0140,3.5,6.8
2317,Avior,0630,9.0,130
2318,Alkaid,0104,6.1,3.4
2319,Menkalinan,081,2.39,2.77
2320,Atria,0390,7,92
2321,Alhena,0109,2.8,3.3
2322,Peacock,0180,5.9,4.8
2323,Alsephina[2],0080,2.4,2.9
2324,Mirzam,0500,13.5,10
2325,Polaris,0430,5.4,39
2326,Alphard,0180,3.0,50
2327,Mintaka,01200,24,16.5
2328,Scheat,0196,2.1,95
2329,Almaaz,0653,15,140
2330,Rasalgethi,0360,2.8,280
2331,Tau Ceti,011.9,0.783,0.893
2332,Delta Pavonis,019.92,0.991,1.22
2333,Ran,010.48,0.82,0.74
2334,V382 Carinae,"08,900",20,485
2335,Eta Carinae,"07,500",100,60 - 881
2336,Delta Cephei,0887,4.5,44.5
2337,Mu Cephei,"06,000",19.2,972
2338,Titawin,044.25,1.27,1.48
2339,Rho Cassiopeiae,"08,154",22,636-981
2340,P Cygni,"05,545",30,76
2341,La Superba,"01,000",,129 - 342
2342,VV Cephei,"04,900",18.2,"516 - 1,050"
2343,61 Cygni,011.41,0.7,0.665
2344,R Doradus,0178,0.7 - 1.0,298
2345,Polaris Australis,0281,1.59,3.74
2346,Sun,0.000015813,1,1
2347,Sirius,0008.6,2.1,1.71
2348,Canopus,0310,15,71
2349,Alpha Centauri,0004.4,1.1,1.2
2350,Arcturus,0037,1.1,26
2351,Vega,0025,2.2,2.7
2352,Capella,0043,2.6,12
2353,Rigel,0860,23,78.9
2354,Procyon,0011.4,1.5,1.9
2355,Betelgeuse,0640[1],20,950
2356,Achernar,0144,6.7,9.3
2357,Hadar,0390,10.5,8.6
2358,Altair,0017,1.8,1.8
2359,Acrux,0320,18,8.9
2360,Aldebaran,0065,1.5,44
2361,Antares,0600,12,680
2362,Spica,0260,11.43,7.47
2363,Pollux,0034,1.9,8.8
2364,Fomalhaut,0025,1.9,1.8
2365,Deneb,"2,600",19,203
2366,Mimosa,0350,16,8.4
2367,Regulus,0077,3.8,3.1
2368,Adhara,0430,12.5,14
2369,Shaula,0700,14.5,8.8
2370,Castor,0052,2.8,2.4
2371,Gacrux,0088,1.5,84
2372,Bellatrix,0240,8.6,5.8
2373,Elnath,0130,5.0,4.2
2374,Miaplacidus,0110,3.5,6.8
2375,Alnilam,"2,000",32,42
2376,Gamma Velorum,"01,100",9.0,6
2377,Alnair,0101,4.0,3.4
2378,Alioth,0081,2.9,4.2
2379,Alnitak,01050,33,20
2380,Dubhe,0120,4.25,30
2381,Mirfak,0590,8.5,68
2382,Wezen,"1,600",17,200
2383,Sargas,0270,5.7,26
2384,Kaus Australis,0140,3.5,6.8
2385,Avior,0630,9.0,130
2386,Alkaid,0104,6.1,3.4
2387,Menkalinan,081,2.39,2.77
2388,Atria,0390,7,92
2389,Alhena,0109,2.8,3.3
2390,Peacock,0180,5.9,4.8
2391,Alsephina[2],0080,2.4,2.9
2392,Mirzam,0500,13.5,10
2393,Polaris,0430,5.4,39
2394,Alphard,0180,3.0,50
2395,Mintaka,01200,24,16.5
2396,Scheat,0196,2.1,95
2397,Almaaz,0653,15,140
2398,Rasalgethi,0360,2.8,280
2399,Tau Ceti,011.9,0.783,0.893
2400,Delta Pavonis,019.92,0.991,1.22
2401,Ran,010.48,0.82,0.74
2402,V382 Carinae,"08,900",20,485
2403,Eta Carinae,"07,500",100,60 - 881
2404,Delta Cephei,0887,4.5,44.5
2405,Mu Cephei,"06,000",19.2,972
2406,Titawin,044.25,1.27,1.48
2407,Rho Cassiopeiae,"08,154",22,636-981
2408,P Cygni,"05,545",30,76
2409,La Superba,"01,000",,129 - 342
2410,VV Cephei,"04,900",18.2,"516 - 1,050"
2411,61 Cygni,011.41,0.7,0.665
2412,R Doradus,0178,0.7 - 1.0,298
2413,Polaris Australis,0281,1.59,3.74
2414,R Coronae Borealis,"04,566",0.85,85
2415,Sun,0.000015813,1,1
2416,Sirius,0008.6,2.1,1.71
2417,Canopus,0310,15,71
2418,Alpha Centauri,0004.4,1.1,1.2
2419,Arcturus,0037,1.1,26
2420,Vega,0025,2.2,2.7
2421,Capella,0043,2.6,12
2422,Rigel,0860,23,78.9
2423,Procyon,0011.4,1.5,1.9
2424,Betelgeuse,0640[1],20,950
2425,Achernar,0144,6.7,9.3
2426,Hadar,0390,10.5,8.6
2427,Altair,0017,1.8,1.8
2428,Acrux,0320,18,8.9
2429,Aldebaran,0065,1.5,44
2430,Antares,0600,12,680
2431,Spica,0260,11.43,7.47
2432,Pollux,0034,1.9,8.8
2433,Fomalhaut,0025,1.9,1.8
2434,Deneb,"2,600",19,203
2435,Mimosa,0350,16,8.4
2436,Regulus,0077,3.8,3.1
2437,Adhara,0430,12.5,14
2438,Shaula,0700,14.5,8.8
2439,Castor,0052,2.8,2.4
2440,Gacrux,0088,1.5,84
2441,Bellatrix,0240,8.6,5.8
2442,Elnath,0130,5.0,4.2
2443,Miaplacidus,0110,3.5,6.8
2444,Alnilam,"2,000",32,42
2445,Gamma Velorum,"01,100",9.0,6
2446,Alnair,0101,4.0,3.4
2447,Alioth,0081,2.9,4.2
2448,Alnitak,01050,33,20
2449,Dubhe,0120,4.25,30
2450,Mirfak,0590,8.5,68
2451,Wezen,"1,600",17,200
2452,Sargas,0270,5.7,26
2453,Kaus Australis,0140,3.5,6.8
2454,Avior,0630,9.0,130
2455,Alkaid,0104,6.1,3.4
2456,Menkalinan,081,2.39,2.77
2457,Atria,0390,7,92
2458,Alhena,0109,2.8,3.3
2459,Peacock,0180,5.9,4.8
2460,Alsephina[2],0080,2.4,2.9
2461,Mirzam,0500,13.5,10
2462,Polaris,0430,5.4,39
2463,Alphard,0180,3.0,50
2464,Mintaka,01200,24,16.5
2465,Scheat,0196,2.1,95
2466,Almaaz,0653,15,140
2467,Rasalgethi,0360,2.8,280
2468,Tau Ceti,011.9,0.783,0.893
2469,Delta Pavonis,019.92,0.991,1.22
2470,Ran,010.48,0.82,0.74
2471,V382 Carinae,"08,900",20,485
2472,Eta Carinae,"07,500",100,60 - 881
2473,Delta Cephei,0887,4.5,44.5
2474,Mu Cephei,"06,000",19.2,972
2475,Titawin,044.25,1.27,1.48
2476,Rho Cassiopeiae,"08,154",22,636-981
2477,P Cygni,"05,545",30,76
2478,La Superba,"01,000",,129 - 342
2479,VV Cephei,"04,900",18.2,"516 - 1,050"
2480,61 Cygni,011.41,0.7,0.665
2481,R Doradus,0178,0.7 - 1.0,298
2482,Polaris Australis,0281,1.59,3.74
2483,R Coronae Borealis,"04,566",0.85,85
2484,54 Piscium,036.1,0.76,0.94
2485,Sun,0.000015813,1,1
2486,Sirius,0008.6,2.1,1.71
2487,Canopus,0310,15,71
2488,Alpha Centauri,0004.4,1.1,1.2
2489,Arcturus,0037,1.1,26
2490,Vega,0025,2.2,2.7
2491,Capella,0043,2.6,12
2492,Rigel,0860,23,78.9
2493,Procyon,0011.4,1.5,1.9
2494,Betelgeuse,0640[1],20,950
2495,Achernar,0144,6.7,9.3
2496,Hadar,0390,10.5,8.6
2497,Altair,0017,1.8,1.8
2498,Acrux,0320,18,8.9
2499,Aldebaran,0065,1.5,44
2500,Antares,0600,12,680
2501,Spica,0260,11.43,7.47
2502,Pollux,0034,1.9,8.8
2503,Fomalhaut,0025,1.9,1.8
2504,Deneb,"2,600",19,203
2505,Mimosa,0350,16,8.4
2506,Regulus,0077,3.8,3.1
2507,Adhara,0430,12.5,14
2508,Shaula,0700,14.5,8.8
2509,Castor,0052,2.8,2.4
2510,Gacrux,0088,1.5,84
2511,Bellatrix,0240,8.6,5.8
2512,Elnath,0130,5.0,4.2
2513,Miaplacidus,0110,3.5,6.8
2514,Alnilam,"2,000",32,42
2515,Gamma Velorum,"01,100",9.0,6
2516,Alnair,0101,4.0,3.4
2517,Alioth,0081,2.9,4.2
2518,Alnitak,01050,33,20
2519,Dubhe,0120,4.25,30
2520,Mirfak,0590,8.5,68
2521,Wezen,"1,600",17,200
2522,Sargas,0270,5.7,26
2523,Kaus Australis,0140,3.5,6.8
2524,Avior,0630,9.0,130
2525,Alkaid,0104,6.1,3.4
2526,Menkalinan,081,2.39,2.77
2527,Atria,0390,7,92
2528,Alhena,0109,2.8,3.3
2529,Peacock,0180,5.9,4.8
2530,Alsephina[2],0080,2.4,2.9
2531,Mirzam,0500,13.5,10
2532,Polaris,0430,5.4,39
2533,Alphard,0180,3.0,50
2534,Mintaka,01200,24,16.5
2535,Scheat,0196,2.1,95
2536,Almaaz,0653,15,140
2537,Rasalgethi,0360,2.8,280
2538,Tau Ceti,011.9,0.783,0.893
2539,Delta Pavonis,019.92,0.991,1.22
2540,Ran,010.48,0.82,0.74
2541,V382 Carinae,"08,900",20,485
2542,Eta Carinae,"07,500",100,60 - 881
2543,Delta Cephei,0887,4.5,44.5
2544,Mu Cephei,"06,000",19.2,972
2545,Titawin,044.25,1.27,1.48
2546,Rho Cassiopeiae,"08,154",22,636-981
2547,P Cygni,"05,545",30,76
2548,La Superba,"01,000",,129 - 342
2549,VV Cephei,"04,900",18.2,"516 - 1,050"
2550,61 Cygni,011.41,0.7,0.665
2551,R Doradus,0178,0.7 - 1.0,298
2552,Polaris Australis,0281,1.59,3.74
2553,R Coronae Borealis,"04,566",0.85,85
2554,54 Piscium,036.1,0.76,0.94
2555,Mira,0300,1.2,370
2556,Sun,0.000015813,1,1
2557,Sirius,0008.6,2.1,1.71
2558,Canopus,0310,15,71
2559,Alpha Centauri,0004.4,1.1,1.2
2560,Arcturus,0037,1.1,26
2561,Vega,0025,2.2,2.7
2562,Capella,0043,2.6,12
2563,Rigel,0860,23,78.9
2564,Procyon,0011.4,1.5,1.9
2565,Betelgeuse,0640[1],20,950
2566,Achernar,0144,6.7,9.3
2567,Hadar,0390,10.5,8.6
2568,Altair,0017,1.8,1.8
2569,Acrux,0320,18,8.9
2570,Aldebaran,0065,1.5,44
2571,Antares,0600,12,680
2572,Spica,0260,11.43,7.47
2573,Pollux,0034,1.9,8.8
2574,Fomalhaut,0025,1.9,1.8
2575,Deneb,"2,600",19,203
2576,Mimosa,0350,16,8.4
2577,Regulus,0077,3.8,3.1
2578,Adhara,0430,12.5,14
2579,Shaula,0700,14.5,8.8
2580,Castor,0052,2.8,2.4
2581,Gacrux,0088,1.5,84
2582,Bellatrix,0240,8.6,5.8
2583,Elnath,0130,5.0,4.2
2584,Miaplacidus,0110,3.5,6.8
2585,Alnilam,"2,000",32,42
2586,Gamma Velorum,"01,100",9.0,6
2587,Alnair,0101,4.0,3.4
2588,Alioth,0081,2.9,4.2
2589,Alnitak,01050,33,20
2590,Dubhe,0120,4.25,30
2591,Mirfak,0590,8.5,68
2592,Wezen,"1,600",17,200
2593,Sargas,0270,5.7,26
2594,Kaus Australis,0140,3.5,6.8
2595,Avior,0630,9.0,130
2596,Alkaid,0104,6.1,3.4
2597,Menkalinan,081,2.39,2.77
2598,Atria,0390,7,92
2599,Alhena,0109,2.8,3.3
2600,Peacock,0180,5.9,4.8
2601,Alsephina[2],0080,2.4,2.9
2602,Mirzam,0500,13.5,10
2603,Polaris,0430,5.4,39
2604,Alphard,0180,3.0,50
2605,Mintaka,01200,24,16.5
2606,Scheat,0196,2.1,95
2607,Almaaz,0653,15,140
2608,Rasalgethi,0360,2.8,280
2609,Tau Ceti,011.9,0.783,0.893
2610,Delta Pavonis,019.92,0.991,1.22
2611,Ran,010.48,0.82,0.74
2612,V382 Carinae,"08,900",20,485
2613,Eta Carinae,"07,500",100,60 - 881
2614,Delta Cephei,0887,4.5,44.5
2615,Mu Cephei,"06,000",19.2,972
2616,Titawin,044.25,1.27,1.48
2617,Rho Cassiopeiae,"08,154",22,636-981
2618,P Cygni,"05,545",30,76
2619,La Superba,"01,000",,129 - 342
2620,VV Cephei,"04,900",18.2,"516 - 1,050"
2621,61 Cygni,011.41,0.7,0.665
2622,R Doradus,0178,0.7 - 1.0,298
2623,Polaris Australis,0281,1.59,3.74
2624,R Coronae Borealis,"04,566",0.85,85
2625,54 Piscium,036.1,0.76,0.94
2626,Mira,0300,1.2,370
2627,RW Cephei,"014,000",13.9,"1,158"
2628,Sun,0.000015813,1,1
2629,Sirius,0008.6,2.1,1.71
2630,Canopus,0310,15,71
2631,Alpha Centauri,0004.4,1.1,1.2
2632,Arcturus,0037,1.1,26
2633,Vega,0025,2.2,2.7
2634,Capella,0043,2.6,12
2635,Rigel,0860,23,78.9
2636,Procyon,0011.4,1.5,1.9
2637,Betelgeuse,0640[1],20,950
2638,Achernar,0144,6.7,9.3
2639,Hadar,0390,10.5,8.6
2640,Altair,0017,1.8,1.8
2641,Acrux,0320,18,8.9
2642,Aldebaran,0065,1.5,44
2643,Antares,0600,12,680
2644,Spica,0260,11.43,7.47
2645,Pollux,0034,1.9,8.8
2646,Fomalhaut,0025,1.9,1.8
2647,Deneb,"2,600",19,203
2648,Mimosa,0350,16,8.4
2649,Regulus,0077,3.8,3.1
2650,Adhara,0430,12.5,14
2651,Shaula,0700,14.5,8.8
2652,Castor,0052,2.8,2.4
2653,Gacrux,0088,1.5,84
2654,Bellatrix,0240,8.6,5.8
2655,Elnath,0130,5.0,4.2
2656,Miaplacidus,0110,3.5,6.8
2657,Alnilam,"2,000",32,42
2658,Gamma Velorum,"01,100",9.0,6
2659,Alnair,0101,4.0,3.4
2660,Alioth,0081,2.9,4.2
2661,Alnitak,01050,33,20
2662,Dubhe,0120,4.25,30
2663,Mirfak,0590,8.5,68
2664,Wezen,"1,600",17,200
2665,Sargas,0270,5.7,26
2666,Kaus Australis,0140,3.5,6.8
2667,Avior,0630,9.0,130
2668,Alkaid,0104,6.1,3.4
2669,Menkalinan,081,2.39,2.77
2670,Atria,0390,7,92
2671,Alhena,0109,2.8,3.3
2672,Peacock,0180,5.9,4.8
2673,Alsephina[2],0080,2.4,2.9
2674,Mirzam,0500,13.5,10
2675,Polaris,0430,5.4,39
2676,Alphard,0180,3.0,50
2677,Mintaka,01200,24,16.5
2678,Scheat,0196,2.1,95
2679,Almaaz,0653,15,140
2680,Rasalgethi,0360,2.8,280
2681,Tau Ceti,011.9,0.783,0.893
2682,Delta Pavonis,019.92,0.991,1.22
2683,Ran,010.48,0.82,0.74
2684,V382 Carinae,"08,900",20,485
2685,Eta Carinae,"07,500",100,60 - 881
2686,Delta Cephei,0887,4.5,44.5
2687,Mu Cephei,"06,000",19.2,972
2688,Titawin,044.25,1.27,1.48
2689,Rho Cassiopeiae,"08,154",22,636-981
2690,P Cygni,"05,545",30,76
2691,La Superba,"01,000",,129 - 342
2692,VV Cephei,"04,900",18.2,"516 - 1,050"
2693,61 Cygni,011.41,0.7,0.665
2694,R Doradus,0178,0.7 - 1.0,298
2695,Polaris Australis,0281,1.59,3.74
2696,R Coronae Borealis,"04,566",0.85,85
2697,54 Piscium,036.1,0.76,0.94
2698,Mira,0300,1.2,370
2699,RW Cephei,"014,000",13.9,"1,158"
2700,Lacaille 8760,012.87,0.6,0.51
2701,Sun,0.000015813,1,1
2702,Sirius,0008.6,2.1,1.71
2703,Canopus,0310,15,71
2704,Alpha Centauri,0004.4,1.1,1.2
2705,Arcturus,0037,1.1,26
2706,Vega,0025,2.2,2.7
2707,Capella,0043,2.6,12
2708,Rigel,0860,23,78.9
2709,Procyon,0011.4,1.5,1.9
2710,Betelgeuse,0640[1],20,950
2711,Achernar,0144,6.7,9.3
2712,Hadar,0390,10.5,8.6
2713,Altair,0017,1.8,1.8
2714,Acrux,0320,18,8.9
2715,Aldebaran,0065,1.5,44
2716,Antares,0600,12,680
2717,Spica,0260,11.43,7.47
2718,Pollux,0034,1.9,8.8
2719,Fomalhaut,0025,1.9,1.8
2720,Deneb,"2,600",19,203
2721,Mimosa,0350,16,8.4
2722,Regulus,0077,3.8,3.1
2723,Adhara,0430,12.5,14
2724,Shaula,0700,14.5,8.8
2725,Castor,0052,2.8,2.4
2726,Gacrux,0088,1.5,84
2727,Bellatrix,0240,8.6,5.8
2728,Elnath,0130,5.0,4.2
2729,Miaplacidus,0110,3.5,6.8
2730,Alnilam,"2,000",32,42
2731,Gamma Velorum,"01,100",9.0,6
2732,Alnair,0101,4.0,3.4
2733,Alioth,0081,2.9,4.2
2734,Alnitak,01050,33,20
2735,Dubhe,0120,4.25,30
2736,Mirfak,0590,8.5,68
2737,Wezen,"1,600",17,200
2738,Sargas,0270,5.7,26
2739,Kaus Australis,0140,3.5,6.8
2740,Avior,0630,9.0,130
2741,Alkaid,0104,6.1,3.4
2742,Menkalinan,081,2.39,2.77
2743,Atria,0390,7,92
2744,Alhena,0109,2.8,3.3
2745,Peacock,0180,5.9,4.8
2746,Alsephina[2],0080,2.4,2.9
2747,Mirzam,0500,13.5,10
2748,Polaris,0430,5.4,39
2749,Alphard,0180,3.0,50
2750,Mintaka,01200,24,16.5
2751,Scheat,0196,2.1,95
2752,Almaaz,0653,15,140
2753,Rasalgethi,0360,2.8,280
2754,Tau Ceti,011.9,0.783,0.893
2755,Delta Pavonis,019.92,0.991,1.22
2756,Ran,010.48,0.82,0.74
2757,V382 Carinae,"08,900",20,485
2758,Eta Carinae,"07,500",100,60 - 881
2759,Delta Cephei,0887,4.5,44.5
2760,Mu Cephei,"06,000",19.2,972
2761,Titawin,044.25,1.27,1.48
2762,Rho Cassiopeiae,"08,154",22,636-981
2763,P Cygni,"05,545",30,76
2764,La Superba,"01,000",,129 - 342
2765,VV Cephei,"04,900",18.2,"516 - 1,050"
2766,61 Cygni,011.41,0.7,0.665
2767,R Doradus,0178,0.7 - 1.0,298
2768,Polaris Australis,0281,1.59,3.74
2769,R Coronae Borealis,"04,566",0.85,85
2770,54 Piscium,036.1,0.76,0.94
2771,Mira,0300,1.2,370
2772,RW Cephei,"014,000",13.9,"1,158"
2773,Lacaille 8760,012.87,0.6,0.51
2774,V838 Monocerotis,"019,896",?,380 - 750
2775,Sun,0.000015813,1,1
2776,Sirius,0008.6,2.1,1.71
2777,Canopus,0310,15,71
2778,Alpha Centauri,0004.4,1.1,1.2
2779,Arcturus,0037,1.1,26
2780,Vega,0025,2.2,2.7
2781,Capella,0043,2.6,12
2782,Rigel,0860,23,78.9
2783,Procyon,0011.4,1.5,1.9
2784,Betelgeuse,0640[1],20,950
2785,Achernar,0144,6.7,9.3
2786,Hadar,0390,10.5,8.6
2787,Altair,0017,1.8,1.8
2788,Acrux,0320,18,8.9
2789,Aldebaran,0065,1.5,44
2790,Antares,0600,12,680
2791,Spica,0260,11.43,7.47
2792,Pollux,0034,1.9,8.8
2793,Fomalhaut,0025,1.9,1.8
2794,Deneb,"2,600",19,203
2795,Mimosa,0350,16,8.4
2796,Regulus,0077,3.8,3.1
2797,Adhara,0430,12.5,14
2798,Shaula,0700,14.5,8.8
2799,Castor,0052,2.8,2.4
2800,Gacrux,0088,1.5,84
2801,Bellatrix,0240,8.6,5.8
2802,Elnath,0130,5.0,4.2
2803,Miaplacidus,0110,3.5,6.8
2804,Alnilam,"2,000",32,42
2805,Gamma Velorum,"01,100",9.0,6
2806,Alnair,0101,4.0,3.4
2807,Alioth,0081,2.9,4.2
2808,Alnitak,01050,33,20
2809,Dubhe,0120,4.25,30
2810,Mirfak,0590,8.5,68
2811,Wezen,"1,600",17,200
2812,Sargas,0270,5.7,26
2813,Kaus Australis,0140,3.5,6.8
2814,Avior,0630,9.0,130
2815,Alkaid,0104,6.1,3.4
2816,Menkalinan,081,2.39,2.77
2817,Atria,0390,7,92
2818,Alhena,0109,2.8,3.3
2819,Peacock,0180,5.9,4.8
2820,Alsephina[2],0080,2.4,2.9
2821,Mirzam,0500,13.5,10
2822,Polaris,0430,5.4,39
2823,Alphard,0180,3.0,50
2824,Mintaka,01200,24,16.5
2825,Scheat,0196,2.1,95
2826,Almaaz,0653,15,140
2827,Rasalgethi,0360,2.8,280
2828,Tau Ceti,011.9,0.783,0.893
2829,Delta Pavonis,019.92,0.991,1.22
2830,Ran,010.48,0.82,0.74
2831,V382 Carinae,"08,900",20,485
2832,Eta Carinae,"07,500",100,60 - 881
2833,Delta Cephei,0887,4.5,44.5
2834,Mu Cephei,"06,000",19.2,972
2835,Titawin,044.25,1.27,1.48
2836,Rho Cassiopeiae,"08,154",22,636-981
2837,P Cygni,"05,545",30,76
2838,La Superba,"01,000",,129 - 342
2839,VV Cephei,"04,900",18.2,"516 - 1,050"
2840,61 Cygni,011.41,0.7,0.665
2841,R Doradus,0178,0.7 - 1.0,298
2842,Polaris Australis,0281,1.59,3.74
2843,R Coronae Borealis,"04,566",0.85,85
2844,54 Piscium,036.1,0.76,0.94
2845,Mira,0300,1.2,370
2846,RW Cephei,"014,000",13.9,"1,158"
2847,Lacaille 8760,012.87,0.6,0.51
2848,V838 Monocerotis,"019,896",?,380 - 750
2849,HD 140283,0190,?,1.4
2850,Sun,0.000015813,1,1
2851,Sirius,0008.6,2.1,1.71
2852,Canopus,0310,15,71
2853,Alpha Centauri,0004.4,1.1,1.2
2854,Arcturus,0037,1.1,26
2855,Vega,0025,2.2,2.7
2856,Capella,0043,2.6,12
2857,Rigel,0860,23,78.9
2858,Procyon,0011.4,1.5,1.9
2859,Betelgeuse,0640[1],20,950
2860,Achernar,0144,6.7,9.3
2861,Hadar,0390,10.5,8.6
2862,Altair,0017,1.8,1.8
2863,Acrux,0320,18,8.9
2864,Aldebaran,0065,1.5,44
2865,Antares,0600,12,680
2866,Spica,0260,11.43,7.47
2867,Pollux,0034,1.9,8.8
2868,Fomalhaut,0025,1.9,1.8
2869,Deneb,"2,600",19,203
2870,Mimosa,0350,16,8.4
2871,Regulus,0077,3.8,3.1
2872,Adhara,0430,12.5,14
2873,Shaula,0700,14.5,8.8
2874,Castor,0052,2.8,2.4
2875,Gacrux,0088,1.5,84
2876,Bellatrix,0240,8.6,5.8
2877,Elnath,0130,5.0,4.2
2878,Miaplacidus,0110,3.5,6.8
2879,Alnilam,"2,000",32,42
2880,Gamma Velorum,"01,100",9.0,6
2881,Alnair,0101,4.0,3.4
2882,Alioth,0081,2.9,4.2
2883,Alnitak,01050,33,20
2884,Dubhe,0120,4.25,30
2885,Mirfak,0590,8.5,68
2886,Wezen,"1,600",17,200
2887,Sargas,0270,5.7,26
2888,Kaus Australis,0140,3.5,6.8
2889,Avior,0630,9.0,130
2890,Alkaid,0104,6.1,3.4
2891,Menkalinan,081,2.39,2.77
2892,Atria,0390,7,92
2893,Alhena,0109,2.8,3.3
2894,Peacock,0180,5.9,4.8
2895,Alsephina[2],0080,2.4,2.9
2896,Mirzam,0500,13.5,10
2897,Polaris,0430,5.4,39
2898,Alphard,0180,3.0,50
2899,Mintaka,01200,24,16.5
2900,Scheat,0196,2.1,95
2901,Almaaz,0653,15,140
2902,Rasalgethi,0360,2.8,280
2903,Tau Ceti,011.9,0.783,0.893
2904,Delta Pavonis,019.92,0.991,1.22
2905,Ran,010.48,0.82,0.74
2906,V382 Carinae,"08,900",20,485
2907,Eta Carinae,"07,500",100,60 - 881
2908,Delta Cephei,0887,4.5,44.5
2909,Mu Cephei,"06,000",19.2,972
2910,Titawin,044.25,1.27,1.48
2911,Rho Cassiopeiae,"08,154",22,636-981
2912,P Cygni,"05,545",30,76
2913,La Superba,"01,000",,129 - 342
2914,VV Cephei,"04,900",18.2,"516 - 1,050"
2915,61 Cygni,011.41,0.7,0.665
2916,R Doradus,0178,0.7 - 1.0,298
2917,Polaris Australis,0281,1.59,3.74
2918,R Coronae Borealis,"04,566",0.85,85
2919,54 Piscium,036.1,0.76,0.94
2920,Mira,0300,1.2,370
2921,RW Cephei,"014,000",13.9,"1,158"
2922,Lacaille 8760,012.87,0.6,0.51
2923,V838 Monocerotis,"019,896",?,380 - 750
2924,HD 140283,0190,?,1.4
2925,II Pegasi,0130,0.8,3.4
2926,Sun,0.000015813,1,1
2927,Sirius,0008.6,2.1,1.71
2928,Canopus,0310,15,71
2929,Alpha Centauri,0004.4,1.1,1.2
2930,Arcturus,0037,1.1,26
2931,Vega,0025,2.2,2.7
2932,Capella,0043,2.6,12
2933,Rigel,0860,23,78.9
2934,Procyon,0011.4,1.5,1.9
2935,Betelgeuse,0640[1],20,950
2936,Achernar,0144,6.7,9.3
2937,Hadar,0390,10.5,8.6
2938,Altair,0017,1.8,1.8
2939,Acrux,0320,18,8.9
2940,Aldebaran,0065,1.5,44
2941,Antares,0600,12,680
2942,Spica,0260,11.43,7.47
2943,Pollux,0034,1.9,8.8
2944,Fomalhaut,0025,1.9,1.8
2945,Deneb,"2,600",19,203
2946,Mimosa,0350,16,8.4
2947,Regulus,0077,3.8,3.1
2948,Adhara,0430,12.5,14
2949,Shaula,0700,14.5,8.8
2950,Castor,0052,2.8,2.4
2951,Gacrux,0088,1.5,84
2952,Bellatrix,0240,8.6,5.8
2953,Elnath,0130,5.0,4.2
2954,Miaplacidus,0110,3.5,6.8
2955,Alnilam,"2,000",32,42
2956,Gamma Velorum,"01,100",9.0,6
2957,Alnair,0101,4.0,3.4
2958,Alioth,0081,2.9,4.2
2959,Alnitak,01050,33,20
2960,Dubhe,0120,4.25,30
2961,Mirfak,0590,8.5,68
2962,Wezen,"1,600",17,200
2963,Sargas,0270,5.7,26
2964,Kaus Australis,0140,3.5,6.8
2965,Avior,0630,9.0,130
2966,Alkaid,0104,6.1,3.4
2967,Menkalinan,081,2.39,2.77
2968,Atria,0390,7,92
2969,Alhena,0109,2.8,3.3
2970,Peacock,0180,5.9,4.8
2971,Alsephina[2],0080,2.4,2.9
2972,Mirzam,0500,13.5,10
2973,Polaris,0430,5.4,39
2974,Alphard,0180,3.0,50
2975,Mintaka,01200,24,16.5
2976,Scheat,0196,2.1,95
2977,Almaaz,0653,15,140
2978,Rasalgethi,0360,2.8,280
2979,Tau Ceti,011.9,0.783,0.893
2980,Delta Pavonis,019.92,0.991,1.22
2981,Ran,010.48,0.82,0.74
2982,V382 Carinae,"08,900",20,485
2983,Eta Carinae,"07,500",100,60 - 881
2984,Delta Cephei,0887,4.5,44.5
2985,Mu Cephei,"06,000",19.2,972
2986,Titawin,044.25,1.27,1.48
2987,Rho Cassiopeiae,"08,154",22,636-981
2988,P Cygni,"05,545",30,76
2989,La Superba,"01,000",,129 - 342
2990,VV Cephei,"04,900",18.2,"516 - 1,050"
2991,61 Cygni,011.41,0.7,0.665
2992,R Doradus,0178,0.7 - 1.0,298
2993,Polaris Australis,0281,1.59,3.74
2994,R Coronae Borealis,"04,566",0.85,85
2995,54 Piscium,036.1,0.76,0.94
2996,Mira,0300,1.2,370
2997,RW Cephei,"014,000",13.9,"1,158"
2998,Lacaille 8760,012.87,0.6,0.51
2999,V838 Monocerotis,"019,896",?,380 - 750
3000,HD 140283,0190,?,1.4
3001,II Pegasi,0130,0.8,3.4
3002,VY Canis Majoris,"03,900",17,"1,420"
3003,Sun,0.000015813,1,1
3004,Sirius,0008.6,2.1,1.71
